[17, 10, 19, 21][0, 0, 0, 0]
[17, 10, 19, 21][0, 0, 0, 0]
[17, 11, 19, 21][0, 0, 0, 0]
[17, 11, 19, 21][0, 0, 0, 0]
[17, 11, 19, 22][0, 0, 0, 0]
[17, 11, 19, 22][0, 0, 0, 0]
[17, 12, 19, 22][0, 0, 0, 0]
[17, 12, 19, 22][0, 0, 0, 0]
[17, 12, 19, 23][0, 0, 0, 0]
[17, 12, 19, 23][0, 0, 0, 0]
[17, 13, 19, 23][0, 0, 0, 0]
[17, 13, 19, 23][0, 0, 0, 0]
[18, 13, 19, 23][0, 0, 0, 0]
[18, 13, 19, 23][0, 0, 0, 0]
[18, 14, 19, 23][0, 0, 0, 0]
[18, 14, 19, 23][0, 0, 0, 0]
[19, 14, 19, 23][0, 0, 0, 0]
[19, 14, 19, 23][0, 0, 0, 0]
[19, 14, 19, 24][0, 0, 0, 0]
[19, 14, 19, 24][0, 0, 0, 0]
[19, 15, 19, 24][0, 0, 0, 0]
[19, 15, 19, 24][0, 0, 0, 0]
[19, 15, 19, 25][0, 0, 0, 0]
[19, 15, 19, 25][0, 0, 0, 0]
[20, 15, 19, 25][0, 0, 0, 0]
[20, 15, 19, 25][0, 0, 0, 0]
[20, 15, 19, 26][0, 0, 0, 0]
[20, 15, 19, 26][0, 0, 0, 0]
[21, 15, 19, 26][0, 0, 0, 0]
[21, 15, 19, 26][0, 0, 0, 0]
[21, 15, 20, 26][0, 0, 0, 0]
[21, 15, 20, 26][0, 0, 0, 0]
[21, 15, 20, 27][0, 0, 0, 0]
[21, 15, 20, 27][0, 0, 0, 0]
[22, 15, 20, 27][0, 0, 0, 0]
[22, 15, 20, 27][0, 0, 0, 0]
[22, 15, 20, 28][0, 0, 0, 0]
[22, 15, 20, 28][0, 0, 0, 0]
[22, 15, 20, 29][0, 0, 0, 0]
[22, 15, 20, 29][0, 0, 0, 0]
[23, 15, 20, 29][0, 0, 0, 0]
[23, 15, 20, 29][0, 0, 0, 0]
[23, 15, 21, 29][0, 0, 0, 0]
[23, 15, 21, 29][0, 0, 0, 0]
[23, 16, 21, 29][0, 0, 0, 0]
[23, 16, 21, 29][0, 0, 0, 0]
[23, 17, 21, 29][0, 0, 0, 0]
[23, 17, 21, 29][0, 0, 0, 0]
[23, 17, 21, 30][0, 0, 0, 0]
